time,open,high,low,close,volume
2026-06-29 18:50:00+00:00,60260.45,60260.45,60237.95,60251.07,0.04083436
2026-06-29 18:51:00+00:00,60242.86,60242.86,60216.24,60216.24,0.04138406
2026-06-29 18:52:00+00:00,60208.73,60221.7,60190.15,60212.61,0.24675913
2026-06-29 18:53:00+00:00,60225.43,60245.13,60225.43,60235.52,0.0186494
2026-06-29 18:55:00+00:00,60250.25,60259.62,60245.78,60259.62,0.01410227
2026-06-29 18:57:00+00:00,60253.36,60273.53,60248.57,60273.47,0.00954992
2026-06-29 18:59:00+00:00,60273.71,60312.17,60273.71,60312.17,0.02629946
2026-06-29 19:00:00+00:00,60250.33,60250.33,60231.62,60231.62,0.00695622
2026-06-29 19:02:00+00:00,60210.48,60216.67,60196.49,60206.58,0.06689942
2026-06-29 19:03:00+00:00,60198.12,60203.16,60184.99,60184.99,0.04153564
2026-06-29 19:04:00+00:00,60201.9,60201.9,60195.75,60195.75,0.012969
2026-06-29 19:05:00+00:00,60186.42,60186.42,60171.7,60180.24,0.02222702
2026-06-29 19:06:00+00:00,60178.8,60184.93,60162.11,60182.07,0.08268127
2026-06-29 19:07:00+00:00,60202.11,60208.52,60202.11,60208.52,0.02465955
2026-06-29 19:08:00+00:00,60197.74,60197.74,60175.74,60182.57,0.03489542
2026-06-29 19:09:00+00:00,60204.72,60210.76,60191.96,60192.83,0.05887282
2026-06-29 19:10:00+00:00,60198.56,60212.42,60198.56,60212.42,0.006117
2026-06-29 19:11:00+00:00,60221.55,60260.65,60221.55,60260.64,0.51686388
2026-06-29 19:12:00+00:00,60217.6,60217.6,60188.22,60202.78,0.0350169
2026-06-29 19:13:00+00:00,60206.3,60217.69,60191.92,60195.4,0.0292163
2026-06-29 19:14:00+00:00,60191.29,60197.57,60191.29,60197.56,0.02706157
2026-06-29 19:15:00+00:00,60191.53,60199.81,60176.6,60192.16,0.014906
2026-06-29 19:16:00+00:00,60191.99,60229.25,60191.97,60221.62,0.20636167
2026-06-29 19:17:00+00:00,60213.53,60233.25,60213.32,60224.25,0.09665488
2026-06-29 19:18:00+00:00,60211.9,60227.24,60184.45,60216.22,0.0313822
2026-06-29 19:19:00+00:00,60216.89,60263.75,60216.89,60263.32,0.005
2026-06-29 19:20:00+00:00,60287.2,60330.35,60286.85,60307.82,0.01755
2026-06-29 19:21:00+00:00,60312.67,60327.55,60305.58,60318.18,0.02242813
2026-06-29 19:22:00+00:00,60324.35,60367.37,60308.4,60367.37,0.08113
2026-06-29 19:23:00+00:00,60367.63,60382.39,60367.63,60382.39,0.031
2026-06-29 19:24:00+00:00,60371.36,60410.98,60371.36,60385.54,0.03168997
2026-06-29 19:25:00+00:00,60410.91,60410.91,60361.58,60406.16,0.08846234
2026-06-29 19:27:00+00:00,60416.68,60416.9,60413.35,60416.9,0.04111551
2026-06-29 19:28:00+00:00,60428.67,60479.15,60416.36,60479.14,0.17391105
2026-06-29 19:29:00+00:00,60469.23,60469.23,60445.47,60445.47,0.11190836
2026-06-29 19:30:00+00:00,60433.71,60447.38,60430.23,60447.36,0.04334349
2026-06-29 19:31:00+00:00,60463.05,60463.05,60446.87,60450.49,0.0203326
2026-06-29 19:32:00+00:00,60434.18,60434.18,60417.43,60417.43,0.02075531
2026-06-29 19:34:00+00:00,60357.25,60357.25,60325.9,60342.2,0.11807289
2026-06-29 19:35:00+00:00,60329.19,60329.19,60329.19,60329.19,0.00115341
2026-06-29 19:36:00+00:00,60340.29,60340.29,60340.29,60340.29,0.002516
2026-06-29 19:37:00+00:00,60349.28,60369.36,60339.48,60361.16,0.07767608
2026-06-29 19:38:00+00:00,60383.72,60383.72,60379.24,60379.24,0.005033
2026-06-29 19:39:00+00:00,60369.45,60369.45,60364.49,60364.49,0.014817
2026-06-29 19:40:00+00:00,60379.22,60393.87,60379.15,60379.15,0.01909
2026-06-29 19:41:00+00:00,60389.15,60408.95,60389.15,60408.95,0.00371818
2026-06-29 19:42:00+00:00,60382.43,60382.43,60354.51,60366.16,0.03077441
2026-06-29 19:43:00+00:00,60379.38,60390.28,60379.38,60390.28,0.00567046
2026-06-29 19:44:00+00:00,60437.78,60481.03,60437.78,60468.73,0.34248911
2026-06-29 19:45:00+00:00,60484.49,60484.49,60463.24,60483.19,0.01805773
2026-06-29 19:47:00+00:00,60517.71,60519.22,60449.88,60449.88,0.06660947
2026-06-29 19:48:00+00:00,60451.06,60451.62,60435.74,60442.56,0.013
